selection_id,circuit_group,device_kind,candidate_id,required_current_a,rated_current_a,provisional_required_rms_ka,rated_breaking_current_ka,course_peak_precheck_ka,rated_peak_withstand_ka,numeric_precheck_status,final_selection_status
SEL-CB-220-LINE,220-line-bays,circuit_breaker,TARGET-CB-220,735.5592390584715,3150,7.384571960617697,50,18.798051274246124,125,provisional_pass,pending
SEL-DS-220-LINE,220-line-bays,disconnector,TARGET-DS-220,735.5592390584715,3150,7.384571960617697,,18.798051274246124,125,provisional_pass,pending
SEL-CB-220-TX,220-transformer-bays,circuit_breaker,TARGET-CB-220,495.99636762199674,3150,7.384571960617697,50,18.798051274246124,125,provisional_pass,pending
SEL-DS-220-TX,220-transformer-bays,disconnector,TARGET-DS-220,495.99636762199674,3150,7.384571960617697,,18.798051274246124,125,provisional_pass,pending
SEL-CB-220-BS,220-bus-section,circuit_breaker,TARGET-CB-220,,3150,7.384571960617697,50,18.798051274246124,125,pending,pending
SEL-SWGR-35-IN,35-transformer-incomers,switchgear,TARGET-SWGR-35-3150,3117.691453623979,3150,16.290983445518524,31.5,41.47007351948617,80,provisional_pass,pending
SEL-SWGR-35-BT,35-bus-tie,switchgear,TARGET-SWGR-35-3150,3117.691453623979,3150,16.290983445518524,31.5,41.47007351948617,80,provisional_pass,pending
SEL-SWGR-35-WA,35-feeder-wind-A,switchgear,TARGET-SWGR-35-1250,364.6422752776585,1250,16.290983445518524,31.5,41.47007351948617,80,provisional_pass,pending
SEL-SWGR-35-WB,35-feeder-wind-B,switchgear,TARGET-SWGR-35-1250,364.6422752776585,1250,16.290983445518524,31.5,41.47007351948617,80,provisional_pass,pending
SEL-SWGR-35-PVA,35-feeder-pv-A,switchgear,TARGET-SWGR-35-1250,530.2196349700645,1250,16.290983445518524,31.5,41.47007351948617,80,provisional_pass,pending
SEL-SWGR-35-PVB,35-feeder-pv-B,switchgear,TARGET-SWGR-35-1250,353.47975664670975,1250,16.290983445518524,31.5,41.47007351948617,80,provisional_pass,pending
SEL-SWGR-35-ES,35-feeder-storage,switchgear,TARGET-SWGR-35-1250,546.9634129164876,1250,16.290983445518524,31.5,41.47007351948617,80,provisional_pass,pending
SEL-SWGR-35-T10,35-aux-transformer-feeders,switchgear,TARGET-SWGR-35-1250,545.5960043841964,1250,16.290983445518524,31.5,41.47007351948617,80,provisional_pass,pending
SEL-SWGR-10-IN,10-transformer-incomers,switchgear,TARGET-SWGR-10-2000,1909.5860153446874,2000,15.638094419605405,31.5,39.808089392178566,80,provisional_pass,pending
SEL-SWGR-10-BT,10-bus-tie,switchgear,TARGET-SWGR-10-2000,1909.5860153446874,2000,15.638094419605405,31.5,39.808089392178566,80,provisional_pass,pending
SEL-SWGR-10-SVG,10-svg-feeders,switchgear,TARGET-SWGR-10-1250,692.820323027551,1250,15.638094419605405,31.5,39.808089392178566,80,provisional_pass,pending
SEL-SWGR-10-SSB,10-load-station-service-backup,switchgear,TARGET-SWGR-10-1250,57.05579130815127,1250,15.638094419605405,31.5,39.808089392178566,80,provisional_pass,pending
SEL-SWGR-10-RC,10-load-reactive-and-cooling,switchgear,TARGET-SWGR-10-1250,42.791843481113446,1250,15.638094419605405,31.5,39.808089392178566,80,provisional_pass,pending
SEL-SWGR-10-CM,10-load-control-and-monitoring,switchgear,TARGET-SWGR-10-1250,26.943012562182542,1250,15.638094419605405,31.5,39.808089392178566,80,provisional_pass,pending
