point_id,voltage_level,operating_status,normal_operation_status,equivalent_reactance_pu,grid_symmetrical_current_ka,grid_peak_current_ka,grid_short_circuit_capacity_mva,renewable_contribution_status,renewable_minimum_ka,renewable_maximum_ka,conservative_total_maximum_ka,course_total_peak_sensitivity_ka
SC-220-BUS-CLOSED,220kV,maximum_base_case,conditional_pending_system_parallel_permission,0.03862059693742504,6.499688665509761,16.545506151539858,2589.2919304697657,course_current_limited_upper_bound,0.8111430205156076,0.8848832951079354,7.384571960617697,18.798051274246124
SC-220-I-SEPARATE,220kV,separate_bus_sensitivity,permitted_separate_operation,0.06959672337744172,3.6068056653765668,9.181428279875382,1436.8492530556814,course_current_limited_upper_bound,0.39037808212123465,0.4258669986777105,4.032672664054277,10.265508673410238
SC-220-II-SEPARATE,220kV,separate_bus_sensitivity,permitted_separate_operation,0.08677221172022684,2.892883000133194,7.3640778716644775,1152.4426774140843,course_current_limited_upper_bound,0.4207649383943729,0.4590162964302249,3.351899296563419,8.532542600835885
SC-35-I-220-CLOSED,35kV,35kv_sectioned_with_220kv_bus_tie_closed,conditional_pending_system_parallel_permission,0.11639837471520284,13.405738153671395,34.12543807898018,859.1185250195675,modelled_rms_only,2.4538050876191893,2.6768782774027513,16.082616431074147,40.939657695484996
SC-35-II-220-CLOSED,35kV,35kv_sectioned_with_220kv_bus_tie_closed,conditional_pending_system_parallel_permission,0.11639837471520284,13.405738153671395,34.12543807898018,859.1185250195675,modelled_rms_only,2.644808184193201,2.885245291847128,16.290983445518524,41.47007351948617
SC-35-I-220-SEPARATE,35kV,220kv_bus_sections_separate,permitted_separate_operation,0.1473745011552195,10.588033348465522,26.952732648465407,678.5434333357086,modelled_rms_only,2.4538050876191893,2.6768782774027513,13.264911625868274,33.76695226497023
SC-35-II-220-SEPARATE,35kV,220kv_bus_sections_separate,permitted_separate_operation,0.16454998949800465,9.482869842199877,24.139445653904183,607.7180576253553,modelled_rms_only,2.644808184193201,2.885245291847128,12.368115134047006,31.484081094410175
SC-35-BOTH-TRANSFORMERS-SENSITIVITY,35kV,non_normal_parallel_sensitivity,not_permitted_non_normal_sensitivity,0.07750948582631394,20.131808594906037,51.247218150027656,1290.1646673812752,modelled_rms_only,5.09861327181239,5.562123569249879,25.693932164155918,65.40607320703846
SC-10-I-220-SEPARATE,10kV,normal_separate_10kv_source,permitted_separate_operation,0.40134275512347345,13.700444126842427,34.87563701048768,249.16358579647195,local_svg_course_upper_bound,0.7258117669812438,0.7917946548886295,14.492238781731057,36.891217141692124
SC-10-I-220-CLOSED,10kV,10kv_sectioned_with_220kv_bus_tie_closed,conditional_dispatch_permission_only,0.3703666286834568,14.846299764716775,37.79250926097412,270.00272771731693,local_svg_course_upper_bound,0.7258117669812438,0.7917946548886295,15.638094419605405,39.808089392178566
SC-10-II-220-SEPARATE,10kV,normal_separate_10kv_source,permitted_separate_operation,0.4185182434662586,13.138194279756531,33.44438256394375,238.9382101286156,local_svg_course_upper_bound,0.7258117669812438,0.7917946548886295,13.929988934645161,35.45996269514819
SC-10-II-220-CLOSED,10kV,10kv_sectioned_with_220kv_bus_tie_closed,conditional_dispatch_permission_only,0.3703666286834568,14.846299764716775,37.79250926097412,270.00272771731693,local_svg_course_upper_bound,0.7258117669812438,0.7917946548886295,15.638094419605405,39.808089392178566
SC-10-BOTH-T10-SENSITIVITY,10kV,non_normal_both_T10_parallel_sensitivity,not_permitted_non_normal_sensitivity,0.2044936128104409,26.888732203969393,68.4475375641691,489.0128284480789,two_svg_course_upper_bound,1.4516235339624877,1.583589309777259,28.472321513746653,72.478697826578
